Algorithm,Language,Size,Num_Typos,C_ms,CUDA_Global_ms,CUDA_Shared_ms,Speedup_Global_vs_C,Speedup_Shared_vs_C,Speedup_Shared_vs_Global
Levenshtein,MK,250,250,5.4154,1.6645,0.5275,3.25,10.27,3.16
Damerau-Levenshtein,MK,250,250,7.6324,0.2964,0.2893,25.75,26.38,1.02
Myers Bit-Vector,MK,250,250,3.2053,0.3273,0.1665,9.79,19.25,1.97
Levenshtein,MK,500,500,5.3513,0.9419,0.5014,5.68,10.67,1.88
Damerau-Levenshtein,MK,500,500,7.6310,0.7383,0.2873,10.34,26.56,2.57
Myers Bit-Vector,MK,500,500,3.1783,0.5700,0.1703,5.58,18.66,3.35
Levenshtein,MK,1K,1000,5.3530,0.7907,0.5029,6.77,10.64,1.57
Damerau-Levenshtein,MK,1K,1000,7.5950,0.6044,0.2929,12.57,25.93,2.06
Myers Bit-Vector,MK,1K,1000,3.1831,0.4448,0.1774,7.16,17.94,2.51
Levenshtein,MK,1500,1500,5.4078,0.6968,0.5011,7.76,10.79,1.39
Damerau-Levenshtein,MK,1500,1500,7.6577,0.5052,0.3041,15.16,25.18,1.66
Myers Bit-Vector,MK,1500,1500,3.2124,0.3302,0.1827,9.73,17.58,1.81
Levenshtein,MK,2K,2000,5.1536,0.6937,0.5083,7.43,10.14,1.36
Damerau-Levenshtein,MK,2K,2000,7.2895,0.4416,0.2956,16.51,24.66,1.49
Myers Bit-Vector,MK,2K,2000,3.0469,0.2869,0.1774,10.62,17.17,1.62
Levenshtein,MK,2500,2500,5.4200,0.6244,0.4970,8.68,10.90,1.26
Damerau-Levenshtein,MK,2500,2500,7.7904,0.3915,0.2858,19.90,27.25,1.37
Myers Bit-Vector,MK,2500,2500,3.2192,0.2606,0.1661,12.35,19.39,1.57
Levenshtein,MK,3500,3499,5.4168,0.6033,0.4973,8.98,10.89,1.21
Damerau-Levenshtein,MK,3500,3499,7.6943,0.3668,0.2871,20.98,26.80,1.28
Myers Bit-Vector,MK,3500,3499,3.2287,0.2295,0.1663,14.07,19.42,1.38
Levenshtein,MK,5K,4999,5.4552,0.5580,0.4973,9.78,10.97,1.12
Damerau-Levenshtein,MK,5K,4999,7.7268,0.3565,0.2865,21.68,26.97,1.24
Myers Bit-Vector,MK,5K,4999,3.2353,0.2025,0.1657,15.98,19.52,1.22
Levenshtein,EN,250,250,5.3045,1.3613,0.4875,3.90,10.88,2.79
Damerau-Levenshtein,EN,250,250,7.3875,0.3176,0.2881,23.26,25.64,1.10
