Algorithm,Language,Words,T(1),T(2),T(4),T(8),S(2),S(4),S(8),E(2)%,E(4)%,E(8)%
Levenshtein,MK,250,80.66,44.28,25.02,17.59,1.82,3.22,4.59,91.1,80.6,57.3
Levenshtein,MK,500,157.01,88.03,50.32,36.19,1.78,3.12,4.34,89.2,78.0,54.2
Levenshtein,MK,1000,316.51,180.85,101.97,81.70,1.75,3.10,3.87,87.5,77.6,48.4
Levenshtein,MK,1500,476.92,266.94,154.00,124.70,1.79,3.10,3.82,89.3,77.4,47.8
Levenshtein,MK,2000,605.71,340.46,195.06,160.97,1.78,3.11,3.76,89.0,77.6,47.0
Levenshtein,MK,2500,796.74,451.65,256.02,192.15,1.76,3.11,4.15,88.2,77.8,51.8
Levenshtein,MK,3500,1119.34,631.58,355.69,269.99,1.77,3.15,4.15,88.6,78.7,51.8
Levenshtein,MK,5000,1592.94,903.70,516.80,405.72,1.76,3.08,3.93,88.1,77.1,49.1
Levenshtein,EN,250,71.97,39.66,22.51,15.91,1.81,3.20,4.52,90.7,79.9,56.6
Levenshtein,EN,500,145.72,81.80,46.69,39.44,1.78,3.12,3.69,89.1,78.0,46.2
Levenshtein,EN,1000,292.13,165.90,95.06,72.00,1.76,3.07,4.06,88.0,76.8,50.7
Levenshtein,EN,1500,435.47,245.58,141.80,105.86,1.77,3.07,4.11,88.7,76.8,51.4
Levenshtein,EN,2000,555.79,313.91,183.75,139.86,1.77,3.03,3.97,88.5,75.6,49.7
Levenshtein,EN,2500,726.88,412.59,234.91,176.21,1.76,3.09,4.13,88.1,77.4,51.6
Levenshtein,EN,3500,1023.57,577.03,338.75,248.70,1.77,3.02,4.12,88.7,75.5,51.4
Levenshtein,EN,5000,1452.83,822.14,477.89,371.49,1.77,3.04,3.91,88.4,76.0,48.9
Levenshtein,TR,250,78.89,50.43,34.39,28.05,1.56,2.29,2.81,78.2,57.4,35.2
Levenshtein,TR,500,156.46,100.83,69.23,55.20,1.55,2.26,2.83,77.6,56.5,35.4
Levenshtein,TR,1000,316.72,202.03,139.65,110.06,1.57,2.27,2.88,78.4,56.7,36.0
Levenshtein,TR,1500,476.74,304.95,213.92,177.48,1.56,2.23,2.69,78.2,55.7,33.6
Levenshtein,TR,2000,604.73,378.82,274.57,228.46,1.60,2.20,2.65,79.8,55.1,33.1
Levenshtein,TR,2500,791.54,498.67,356.62,304.67,1.59,2.22,2.60,79.4,55.5,32.5
Levenshtein,TR,3500,1110.31,697.57,501.96,421.34,1.59,2.21,2.64,79.6,55.3,32.9
Levenshtein,TR,5000,1566.57,988.58,709.70,594.71,1.58,2.21,2.63,79.2,55.2,32.9
Damerau-Levenshtein,MK,250,119.82,66.75,48.58,34.24,1.79,2.47,3.50,89.7,61.7,43.7
Damerau-Levenshtein,MK,500,239.62,133.28,74.82,56.35,1.80,3.20,4.25,89.9,80.1,53.2
Damerau-Levenshtein,MK,1000,478.33,263.71,153.44,120.78,1.81,3.12,3.96,90.7,77.9,49.5
Damerau-Levenshtein,MK,1500,718.67,398.02,231.43,168.24,1.81,3.11,4.27,90.3,77.6,53.4
Damerau-Levenshtein,MK,2000,917.01,511.77,291.08,224.37,1.79,3.15,4.09,89.6,78.8,51.1
Damerau-Levenshtein,MK,2500,1197.07,664.90,378.75,290.06,1.80,3.16,4.13,90.0,79.0,51.6
Damerau-Levenshtein,MK,3500,1677.17,930.68,533.30,399.62,1.80,3.15,4.20,90.1,78.6,52.5
Damerau-Levenshtein,MK,5000,2409.02,1338.90,792.13,693.36,1.80,3.04,3.47,90.0,76.0,43.4
Damerau-Levenshtein,EN,250,108.19,60.11,40.49,30.97,1.80,2.67,3.49,90.0,66.8,43.7
Damerau-Levenshtein,EN,500,223.37,124.39,70.56,52.68,1.80,3.17,4.24,89.8,79.1,53.0
Damerau-Levenshtein,EN,1000,444.01,247.14,140.17,108.43,1.80,3.17,4.10,89.8,79.2,51.2
Damerau-Levenshtein,EN,1500,664.49,368.88,210.32,158.20,1.80,3.16,4.20,90.1,79.0,52.5
Damerau-Levenshtein,EN,2000,845.37,481.74,277.54,203.22,1.75,3.05,4.16,87.7,76.2,52.0
Damerau-Levenshtein,EN,2500,1100.45,613.25,351.92,267.46,1.79,3.13,4.12,89.7,78.2,51.4
