Algorithm,Language,Words,T(1),T(2),T(4),T(8),S(2),S(4),S(8),E(2)%,E(4)%,E(8)%
Levenshtein,MK,250,79.11,40.64,21.49,15.82,1.95,3.68,5.00,97.3,92.0,62.5
Levenshtein,MK,500,159.84,80.24,42.23,34.06,1.99,3.78,4.69,99.6,94.6,58.7
Levenshtein,MK,1000,317.08,162.71,85.34,69.00,1.95,3.72,4.60,97.4,92.9,57.4
Levenshtein,MK,1500,477.06,247.68,131.42,102.91,1.93,3.63,4.64,96.3,90.8,57.9
Levenshtein,MK,2000,607.74,311.12,169.17,127.99,1.95,3.59,4.75,97.7,89.8,59.4
Levenshtein,MK,2500,797.72,409.67,220.64,170.65,1.95,3.62,4.67,97.4,90.4,58.4
Levenshtein,MK,3500,1116.93,577.54,332.63,234.06,1.93,3.36,4.77,96.7,83.9,59.6
Levenshtein,MK,5000,1612.81,830.63,500.25,331.83,1.94,3.22,4.86,97.1,80.6,60.8
Levenshtein,EN,250,70.93,36.50,20.22,13.79,1.94,3.51,5.14,97.2,87.7,64.3
Levenshtein,EN,500,146.04,75.26,42.80,32.43,1.94,3.41,4.50,97.0,85.3,56.3
Levenshtein,EN,1000,292.75,150.51,87.36,61.83,1.94,3.35,4.73,97.2,83.8,59.2
Levenshtein,EN,1500,434.65,224.10,130.19,92.45,1.94,3.34,4.70,97.0,83.5,58.8
Levenshtein,EN,2000,561.04,283.38,165.36,118.47,1.98,3.39,4.74,99.0,84.8,59.2
Levenshtein,EN,2500,726.14,373.08,217.49,158.04,1.95,3.34,4.59,97.3,83.5,57.4
Levenshtein,EN,3500,1023.35,523.23,319.00,241.28,1.96,3.21,4.24,97.8,80.2,53.0
Levenshtein,EN,5000,1455.23,740.85,498.72,307.15,1.96,2.92,4.74,98.2,72.9,59.2
Levenshtein,TR,250,78.69,47.86,26.63,19.00,1.64,2.96,4.14,82.2,73.9,51.8
Levenshtein,TR,500,156.15,96.89,54.01,38.82,1.61,2.89,4.02,80.6,72.3,50.3
Levenshtein,TR,1000,314.67,193.42,109.70,76.15,1.63,2.87,4.13,81.3,71.7,51.7
Levenshtein,TR,1500,475.24,291.53,164.60,120.47,1.63,2.89,3.94,81.5,72.2,49.3
Levenshtein,TR,2000,604.06,366.91,219.25,150.38,1.65,2.76,4.02,82.3,68.9,50.2
Levenshtein,TR,2500,795.68,488.30,274.33,193.19,1.63,2.90,4.12,81.5,72.5,51.5
Levenshtein,TR,3500,1114.29,684.61,386.28,278.58,1.63,2.88,4.00,81.4,72.1,50.0
Levenshtein,TR,5000,1575.21,931.74,604.50,482.79,1.69,2.61,3.26,84.5,65.1,40.8
Damerau-Levenshtein,MK,250,118.59,60.91,32.08,22.26,1.95,3.70,5.33,97.3,92.4,66.6
Damerau-Levenshtein,MK,500,236.28,120.20,63.08,48.61,1.97,3.75,4.86,98.3,93.6,60.8
Damerau-Levenshtein,MK,1000,475.19,241.52,131.42,105.28,1.97,3.62,4.51,98.4,90.4,56.4
Damerau-Levenshtein,MK,1500,716.78,370.63,235.15,144.11,1.93,3.05,4.97,96.7,76.2,62.2
Damerau-Levenshtein,MK,2000,913.07,467.24,244.68,187.90,1.95,3.73,4.86,97.7,93.3,60.7
Damerau-Levenshtein,MK,2500,1201.92,614.41,326.81,243.14,1.96,3.68,4.94,97.8,91.9,61.8
Damerau-Levenshtein,MK,3500,1685.79,853.26,455.66,340.01,1.98,3.70,4.96,98.8,92.5,62.0
Damerau-Levenshtein,MK,5000,2409.19,1224.14,660.27,482.08,1.97,3.65,5.00,98.4,91.2,62.5
Damerau-Levenshtein,EN,250,106.25,54.94,30.12,21.85,1.93,3.53,4.86,96.7,88.2,60.8
Damerau-Levenshtein,EN,500,220.01,113.33,60.20,45.97,1.94,3.65,4.79,97.1,91.4,59.8
Damerau-Levenshtein,EN,1000,441.88,226.27,140.64,103.02,1.95,3.14,4.29,97.6,78.5,53.6
Damerau-Levenshtein,EN,1500,659.42,337.97,219.62,134.75,1.95,3.00,4.89,97.6,75.1,61.2
Damerau-Levenshtein,EN,2000,843.88,432.98,238.27,171.59,1.95,3.54,4.92,97.5,88.5,61.5
Damerau-Levenshtein,EN,2500,1100.80,558.74,307.33,227.92,1.97,3.58,4.83,98.5,89.5,60.4
Damerau-Levenshtein,EN,3500,1557.99,789.82,435.34,319.22,1.97,3.58,4.88,98.6,89.5,61.0
Damerau-Levenshtein,EN,5000,2215.27,1124.17,625.23,446.74,1.97,3.54,4.96,98.5,88.6,62.0
Damerau-Levenshtein,TR,250,119.28,72.56,43.25,28.80,1.64,2.76,4.14,82.2,68.9,51.8
Damerau-Levenshtein,TR,500,236.91,146.45,86.78,57.71,1.62,2.73,4.11,80.9,68.2,51.3
Damerau-Levenshtein,TR,1000,479.48,293.92,174.70,121.57,1.63,2.74,3.94,81.6,68.6,49.3
Damerau-Levenshtein,TR,1500,721.04,445.54,257.02,183.72,1.62,2.81,3.92,80.9,70.1,49.1
Damerau-Levenshtein,TR,2000,918.60,554.69,352.30,238.64,1.66,2.61,3.85,82.8,65.2,48.1
Damerau-Levenshtein,TR,2500,1208.41,743.78,429.67,302.84,1.62,2.81,3.99,81.2,70.3,49.9
Damerau-Levenshtein,TR,3500,1691.67,1037.91,597.10,429.84,1.63,2.83,3.94,81.5,70.8,49.2
Damerau-Levenshtein,TR,5000,2462.29,1471.62,1011.25,748.19,1.67,2.43,3.29,83.7,60.9,41.1
Myers Bit-Vector,MK,250,25.67,11.67,6.23,4.50,2.20,4.12,5.71,110.0,102.9,71.4
Myers Bit-Vector,MK,500,53.39,23.29,12.11,8.83,2.29,4.41,6.04,114.6,110.2,75.5
Myers Bit-Vector,MK,1000,98.53,46.75,24.28,19.96,2.11,4.06,4.94,105.4,101.5,61.7
Myers Bit-Vector,MK,1500,151.71,70.97,36.85,29.65,2.14,4.12,5.12,106.9,102.9,64.0
Myers Bit-Vector,MK,2000,194.22,92.13,46.55,38.42,2.11,4.17,5.06,105.4,104.3,63.2
Myers Bit-Vector,MK,2500,253.63,118.43,62.10,49.87,2.14,4.08,5.09,107.1,102.1,63.6
Myers Bit-Vector,MK,3500,354.74,165.34,88.82,70.24,2.15,3.99,5.05,107.3,99.8,63.1
Myers Bit-Vector,MK,5000,507.39,236.53,127.93,100.35,2.15,3.97,5.06,107.3,99.2,63.2
Myers Bit-Vector,EN,250,21.73,9.69,5.51,3.72,2.24,3.95,5.84,112.2,98.7,73.0
Myers Bit-Vector,EN,500,43.41,19.89,11.26,7.77,2.18,3.86,5.59,109.1,96.4,69.8
Myers Bit-Vector,EN,1000,84.23,39.35,22.38,16.94,2.14,3.76,4.97,107.0,94.1,62.1
Myers Bit-Vector,EN,1500,125.79,58.77,33.07,24.73,2.14,3.80,5.09,107.0,95.1,63.6
Myers Bit-Vector,EN,2000,161.76,74.82,43.24,32.37,2.16,3.74,5.00,108.1,93.5,62.5
Myers Bit-Vector,EN,2500,208.99,97.98,57.02,41.50,2.13,3.66,5.04,106.6,91.6,63.0
Myers Bit-Vector,EN,3500,295.10,137.95,80.36,58.97,2.14,3.67,5.00,107.0,91.8,62.6
Myers Bit-Vector,EN,5000,418.28,196.32,116.17,84.56,2.13,3.60,4.95,106.5,90.0,61.8
Myers Bit-Vector,TR,250,19.61,9.99,5.21,4.40,1.96,3.76,4.46,98.1,94.0,55.8
Myers Bit-Vector,TR,500,39.74,20.17,10.74,8.84,1.97,3.70,4.49,98.5,92.5,56.2
Myers Bit-Vector,TR,1000,79.00,40.13,21.00,17.22,1.97,3.76,4.59,98.4,94.0,57.4
Myers Bit-Vector,TR,1500,119.67,60.80,32.73,25.66,1.97,3.66,4.66,98.4,91.4,58.3
Myers Bit-Vector,TR,2000,159.40,81.34,44.74,34.92,1.96,3.56,4.56,98.0,89.1,57.1
Myers Bit-Vector,TR,2500,200.75,102.67,56.64,43.53,1.96,3.54,4.61,97.8,88.6,57.7
Myers Bit-Vector,TR,3500,278.36,141.87,78.06,60.50,1.96,3.57,4.60,98.1,89.1,57.5
Myers Bit-Vector,TR,5000,398.33,201.41,110.80,84.37,1.98,3.60,4.72,98.9,89.9,59.0
